nom,categorie,souscategorie,tel,mail,adresse,web,catalogue,horaires,description
Atomic Circus,association,jeunesse,06.76.48.94.18 ,circus.atomic@gmail.com,,,,,"Jonglerie, Acrobatie, equilibre objet, trapèze... Tout public à partir de 5 ans"
Détente & Bien Etre ,association,sport, 06 37 21 33 01,assoc.detenteetbienetre@gmail.com,,https://assocdetenteetbienetre.jimdofree.com/,,,Gymnastique douce
Lézard Martiaux ,association,sport,06.82.32.25.77,,,,,,
Passion Trail Lauragais,association,sport,06 81 57 22 46,,,https://www.facebook.com/PassionTrailLauragais/,,dimanche 8h30,Courses pédestres
Pris en Flag à Saint-Léon,association,sport,06.16.53.43.73,flag-stleon@framalistes.org,,,,mercredi 18h30,"Pratique du rugby flag ( sans contact ) mixte, de l'adolescence à pas d'âge"
Yoga  Together,association,sport,06.21.55.01.06,,,,,,
A.C.C.A,association,loisir,06 26 85 59 25,,,,,,Association Communale Chasse Agréée
Association Musicale,association,loisir,06.26.17.60.43,,,,,,"Cours de musique (enfants, ...)"
Hell on Wheels 31,association,loisir, 06.64.17.05.58,,,,,,Reconstitution historiques autour de la seconde guerre mondiale
Les Joyeuses Pétrolettes,association,loisir,05 61 27 97 76,,,,,,
Le Joyeux Cochonnet,association,loisir,06.18.64.17.76,,,,,,Pétanque
Les P'tites mains festives,association,jeunesse,06.26.19.69.66,lesptitesmainsfestives@gmail.com,,,,,
Temps Libre,association,loisir,06 67 86 38 45,,,,,,"Patchwork, peinture, scrabble...."
Les St Léon de France,association,loisir,05 61 81 19 67,landetgisele@gmail.fr,,,,,
Rallye Trompes du Lauragais,association,loisir,06 21 36 40 86,,,,,,
